Y,X1,X2
-6775,-4220,-2555
5367,3184,2183
5165,265,4900
7036,2107,4929
452,-2078,2530
-969,-1152,183
2030,3527,-1497
-5309,-3041,-2268
-1957,2183,-4140
3811,4839,-1028
2461,3219,-758
-4095,-4849,754
-3043,-2085,-958
5328,2784,2544
2772,1633,1139
6524,2384,4140
3462,1797,1665
1318,-2839,4157
-6861,-4860,-2001
-56,-3024,2968
-1778,-1899,121
720,4501,-3781
-7844,-4949,-2895
-1764,-1879,115
-5140,-1286,-3854
-6229,-4410,-1819
-2267,-3039,772
1438,1462,-24
-2475,-4569,2094
8911,4662,4249
-7096,-4367,-2729
255,55,200
-7370,-2954,-4416
-1734,549,-2283
706,3967,-3261
7169,4580,2589
1636,4388,-2752
4523,916,3607
2059,-449,2508
-2109,-3074,965
4684,3734,950
-4360,-310,-4050
6211,4406,1805
-6760,-2362,-4398
1998,299,1699
5210,1057,4153
-4505,264,-4769
-64,934,-998
-2392,-4837,2445
-2022,2597,-4619
2419,-153,2572
-4760,-4905,145
-3326,593,-3919
-1266,-3751,2485
-6363,-1385,-4978
897,-2742,3639
4096,570,3526
-7517,-3695,-3822
3002,532,2470
-5799,-4960,-839
-1654,2631,-4285
3356,4144,-788
-7888,-3390,-4498
2756,119,2637
5937,4075,1862
1672,4691,-3019
1123,-1271,2394
5340,3110,2230
2034,-198,2232
-3709,-503,-3206
-3937,-487,-3450
1115,-1688,2803
792,3055,-2263
3395,362,3033
-2570,2102,-4672
1900,4904,-3004
-3402,-4166,764
-3370,-4610,1240
5187,3609,1578
4838,1762,3076
6041,1477,4564
-3296,1155,-4451
-2704,1429,-4133
6888,2164,4724
-1875,-3286,1411
507,3984,-3477
-5309,-1955,-3354
-5215,-1676,-3539
-798,1610,-2408
-7364,-2715,-4649
3598,-97,3695
-2455,-3342,887
-739,-1554,815
2476,-2141,4617
3082,714,2368
-6203,-4826,-1377
1322,2416,-1094
2473,2662,-189
-4017,-1600,-2417
2430,-1254,3684
174,-4541,4715
8837,4084,4753
2778,4496,-1718
-5085,-4217,-868
-3423,-2165,-1258
-5215,-3613,-1602
-6889,-2128,-4761
-1397,-665,-732
-4604,-911,-3693
-5034,-106,-4928
1191,-1026,2217
6830,3949,2881
-3423,-4366,943
21,-2121,2142
-840,-4466,3626
8557,4443,4114
-6005,-3515,-2490
-719,594,-1313
7172,3533,3639
-1000,-4657,3657
959,-48,1007
-1136,-4178,3042
-7437,-3322,-4115
-4175,-1503,-2672
3246,4171,-925
-2265,-2337,72
6464,2730,3734
584,4003,-3419
-815,-307,-508
-6567,-3965,-2602
5376,2955,2421
-2670,-155,-2515
370,-3971,4341
-2903,-1762,-1141
8073,4750,3323
1997,3403,-1406
7237,3562,3675
-1600,-906,-694
-130,-3377,3247
8104,4057,4047
